,Screen Name,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago
53,BBC,Wed Jun 20 17:32:05 +0000 2018,"Discover Porthcawl Elvis Festival, the largest Elvis festival in the world... 

Mad About Elvis | 7:30pm | @BBCOne… https://t.co/JBFFZhtPMD",0.494,0.271,0.136,0.593,55
54,BBC,Wed Jun 20 16:00:26 +0000 2018,"Gaming addiction is listed as mental health condition for first time by @WHO.

How much is too much? https://t.co/hB16QHI6B8",0.0,0.0,0.0,1.0,56
55,BBC,Wed Jun 20 14:35:32 +0000 2018,"RT @bbcworldservice: How the promise of dance lessons can keep children in school. 
 
@SunkitYole is just one of the nominees for the Outlo…",0.318,0.095,0.0,0.905,57
56,BBC,Wed Jun 20 13:05:22 +0000 2018,RT @bbcthesocial: Salih fled Syria and travelled all the way to Scotland. He designed a tattoo to illustrate his incredible journey 💙 #Worl…,0.0,0.0,0.0,1.0,58
57,BBC,Wed Jun 20 13:02:04 +0000 2018,A baby boy who was born on a Paris commuter train has been given free rail travel until he is 25! 👶🇫🇷🎉… https://t.co/XeAeCBBjLj,0.556,0.152,0.0,0.848,59
58,BBC,Wed Jun 20 12:00:21 +0000 2018,"100 years after women won the right to vote, are we really any closer to true gender equality in 2018? @BBCArts ask… https://t.co/qrc2yQ5WqF",0.758,0.236,0.0,0.764,60
59,BBC,Wed Jun 20 11:03:05 +0000 2018,"How to have a baby, debone a chicken, and other life-changing YouTube hacks.
Because life's a little easier with th… https://t.co/2RC1zxgYb4",0.363,0.129,0.0,0.871,61
60,BBC,Wed Jun 20 10:31:58 +0000 2018,RT @BBC6MorningShow: #PeoplesPlaylist time - we've got a VERY important job for the @BBC6Music family c/o friend of this show Jo Milne (@jo…,0.721,0.241,0.0,0.759,62
61,BBC,Wed Jun 20 10:20:48 +0000 2018,🇯🇵⚽️🗑 Japanese football fans have impressed the world by meticulously cleaning up their rows and seats in the stadi… https://t.co/AGITQOknOI,0.477,0.14,0.0,0.86,63
62,BBC,Wed Jun 20 10:03:05 +0000 2018,"RT @BBCWales: When Darren 'Graceland' Jones becomes #Elvis, he touches the lives of many others by evoking memories... 

🎤 Our Lives: #MadA…",0.0,0.0,0.0,1.0,64
63,BBC,Wed Jun 20 09:47:39 +0000 2018,"RT @bbcthree: Fatima lives in a refugee camp, but that's not stopping her will to succeed. #WorldRefugeeDay https://t.co/RnQJRDAY2y",0.715,0.285,0.0,0.715,65
64,BBC,Wed Jun 20 08:00:23 +0000 2018,"18 of the greatest moments in human civilisation.
#Civilisations https://t.co/naGsXLkC95",0.637,0.318,0.0,0.682,66
65,BBC,Wed Jun 20 07:25:01 +0000 2018,"🤔💭 'Jamais vu is the opposite of déjà vu.'

Eight things you *probably* haven't heard before about that funny feeli… https://t.co/SLnIksuK3u",0.44,0.127,0.0,0.873,67
66,BBC,Wed Jun 20 07:00:15 +0000 2018,Who knew Quidditch was a sport? https://t.co/VvZzXkTubL,0.0,0.0,0.0,1.0,68
67,BBC,Tue Jun 19 19:03:08 +0000 2018,"Follow Inside Justice as they investigate the cases of convicted murderers who claim to be innocent.

#Conviction |… https://t.co/2FhNIkcgUH",0.128,0.222,0.165,0.613,69
68,BBC,Tue Jun 19 18:01:10 +0000 2018,"The squirrel family is one of the most widespread on earth, so what is the secret to their success? 🐿

Natural Worl… https://t.co/bWRqIik7Vw",0.735,0.237,0.0,0.763,70
69,BBC,Tue Jun 19 18:00:21 +0000 2018,"Throwback to when #JodieWhittaker was revealed as the new Doctor in 2017. 

#HearHer @bbcdoctorwho https://t.co/Rm3uhZyyi1",0.0,0.0,0.0,1.0,71
70,BBC,Tue Jun 19 16:00:28 +0000 2018,"🐿💚 Billy was rescued at just 5 days old. 
Would you foster a baby red squirrel?

#SuperSquirrels | 8pm | @BBCTwo https://t.co/GIi8cAUz6R",0.422,0.141,0.0,0.859,72
71,BBC,Tue Jun 19 15:20:59 +0000 2018,"RT @cbbc: Want to cover @England's @hkane in #WorldCup stickers?! Download the CBBC Buzz app here 👉 https://t.co/dcRAwvWtxs

@BBCSport @BBC…",0.151,0.081,0.0,0.919,73
72,BBC,Tue Jun 19 15:02:04 +0000 2018,"The Queen's granddaughter, Zara Tindall, has given birth to a baby girl. 👶

https://t.co/LBMmlTU2Fq https://t.co/5E6W6MzXW8",0.0,0.0,0.0,1.0,74
73,BBC,Tue Jun 19 14:59:48 +0000 2018,"RT @BBCOne: When a training exercise in Belize goes wrong, Captain James and Georgie find themselves in danger.

@michkeegan and @benaldrid…",-0.758,0.0,0.265,0.735,75
74,BBC,Tue Jun 19 13:38:02 +0000 2018,"The world's oldest known Sumatran orangutan has died in an Australian zoo aged 62, leaving behind 54 descendants.
👉… https://t.co/ot0RvvMGaY",-0.557,0.0,0.159,0.841,76
75,BBC,Tue Jun 19 12:59:03 +0000 2018,"Meet the England football fan who has been to every World Cup since Mexico '86 ⚽️

https://t.co/z3ZSmB0IWH https://t.co/Ei6hN1wk9Q",-0.077,0.11,0.124,0.766,77
76,BBC,Tue Jun 19 12:02:05 +0000 2018,"It is an omelette? Is it a beef slice? No, it's @Rihanna's dress at the Met Gala.
#TheGNShow https://t.co/HjWmICH6zV",-0.374,0.0,0.131,0.869,78
77,BBC,Tue Jun 19 11:00:20 +0000 2018,"'Hope for the best, be prepared for the worst and expect nothing.'

10 incredible #MayaAngelou quotes to live your… https://t.co/qzG9hDHZJj",0.599,0.309,0.141,0.55,79
78,BBC,Tue Jun 19 10:26:08 +0000 2018,✈️ Electric plane takes to the skies as Norway bids to combat climate change. https://t.co/wrjHlVhAZJ,-0.34,0.0,0.146,0.854,80
79,BBC,Tue Jun 19 09:55:13 +0000 2018,"RT @BBC_Teach: BBC Bitesize is 20 🙌🎉 !
To celebrate, tell us your Bitesize story. Did you use Bitesize to pass your exams? Do you use Bites…",0.611,0.138,0.0,0.862,81
80,BBC,Tue Jun 19 09:53:59 +0000 2018,RT @TWBBC: Should we bring the woolly mammoth back from the dead? Or should we use the same technology to better protect endangered species…,0.052,0.179,0.14,0.682,82
81,BBC,Tue Jun 19 09:47:43 +0000 2018,"RT @BBCSport: ✅ 18.3 million on @BBCOne 
✅ 3 million online streams
✅ More viewers than the royal wedding
✅ England win

Thanks for joining…",0.772,0.271,0.0,0.729,83
82,BBC,Tue Jun 19 08:00:15 +0000 2018,"Faced with extreme weather, Bolivian farmers are going underground. #BBCTakingTheTemperature https://t.co/ocATWI0jPL",0.0,0.0,0.0,1.0,84
83,BBC,Tue Jun 19 07:27:05 +0000 2018,"Antarctica has lost three trillion tonnes of ice in 25 years.
👉 https://t.co/lzm3BAGQRi https://t.co/ryqk634l6a",-0.318,0.0,0.161,0.839,85
84,BBC,Tue Jun 19 07:00:16 +0000 2018,They survived the Ice Age but today saiga antelopes are struggling. https://t.co/IPU5smfklg,-0.372,0.136,0.233,0.631,86
85,BBC,Mon Jun 18 20:58:38 +0000 2018,"RT @BBCOne: This. Will. Hurt.

@IdrisElba returns as the inimitable DCI #Luther. Coming soon to @BBCOne. https://t.co/FO9GM9yurk",-0.527,0.0,0.175,0.825,87
86,BBC,Mon Jun 18 20:02:04 +0000 2018,"Monologues inspired by women who have spoken out, challenged the status quo or made a stand - often at great person… https://t.co/kkpLMaYB7X",0.784,0.284,0.054,0.661,88
87,BBC,Mon Jun 18 18:02:04 +0000 2018,"🎧❤️ Casey dreams of one day playing in Ibiza. 
(via @BBCThree) https://t.co/sxEqTuiekr",0.542,0.31,0.0,0.69,89
88,BBC,Mon Jun 18 16:16:09 +0000 2018,"Tonight, @GaryLineker introduces live coverage from the #WorldCup as England take on Africa's highest-ranked team.… https://t.co/qGO8XWrMsB",0.0,0.0,0.0,1.0,90
89,BBC,Mon Jun 18 16:02:03 +0000 2018,"✊ @StaceyDooley investigates the changing face of women's protests. 
#HearHer https://t.co/77aW9jzlE0",-0.226,0.0,0.174,0.826,91
90,BBC,Mon Jun 18 15:35:49 +0000 2018,RT @bbcrb: Thank goodness a psychic alpaca has predicted tonight's result. We just couldn't bear the intrigue any longer... 😂️⚽️🏴󠁧󠁢󠁥󠁮󠁧󠁿 htt…,0.67,0.234,0.0,0.766,92
91,BBC,Mon Jun 18 15:32:42 +0000 2018,"RT @BBCiPlayer: In 1968, one determined factory worker led her colleagues out on strike for equal pay and better working conditions. 
#Made…",0.527,0.202,0.111,0.687,93
92,BBC,Mon Jun 18 15:32:33 +0000 2018,"RT @BBCOne: To celebrate 70 years of the NHS, @StaceyDooley and @JonniePeacock join a team of celebs to get first-hand experience at one of…",0.71,0.219,0.0,0.781,94
93,BBC,Mon Jun 18 15:28:37 +0000 2018,"RT @bbcthree: This 13-year-old made an app to help disabled people find accessible services. 

Watch more Solutions Lab here: https://t.co/…",0.571,0.207,0.0,0.793,95
94,BBC,Mon Jun 18 14:52:52 +0000 2018,"RT @BBCSport: Brilliant 😂

National Grid is preparing for a power surge equivalent to 23 million fridge doors opening at once at half-time…",0.586,0.16,0.0,0.84,96
95,BBC,Mon Jun 18 13:03:06 +0000 2018,"🎨 What Picasso's Kitchen reveals about his art.
👉 https://t.co/f60bZFnAiv https://t.co/b1xirRNFMC",0.0,0.0,0.0,1.0,97
96,BBC,Mon Jun 18 12:03:05 +0000 2018,🤣🐐 This look relaxing to you? https://t.co/v5JwLDN3wm,0.494,0.348,0.0,0.652,98
97,BBC,Mon Jun 18 11:35:41 +0000 2018,"RT @BBCBreakfast: 💪 Another win in the battle against plastic straws! 
#plastic #plasticstraws https://t.co/VsJ7Co4gXU",0.36,0.231,0.147,0.622,99
98,BBC,Mon Jun 18 11:27:11 +0000 2018,"RT @BBC100women: Recently discovered letters written by Emmeline Pankhurst shed new light on the suffragette and her campaign to help the ""…",0.402,0.114,0.0,0.886,100
99,BBC,Mon Jun 18 11:03:06 +0000 2018,🎾 Sue Barker hosts live coverage of the opening day of the Championships from the famous Queen's Club in west Londo… https://t.co/KaUoUWXRTE,0.494,0.138,0.0,0.862,101
100,CBS,Fri Jun 22 20:44:54 +0000 2018,@TwitterSupport Re: Richard Grove with CBSinteractive: so I need to find some way to prove my credentials as part o… https://t.co/rTcg8nC1KT,0.0,0.0,0.0,1.0,2
101,CBS,Fri Jun 22 20:43:33 +0000 2018,"@TwitterSupport My name is Richard Grove, I am a web developer for CBSinteractive. I need to make adjustments for t… https://t.co/vQzn6jut5n",0.0,0.0,0.0,1.0,3
102,CBS,Fri Jun 22 18:33:53 +0000 2018,"Every day is #TakeYourDogToWorkDay for shows like @HawaiiFive0CBS, @MomCBS, @SEALTeamCBS, and @bigbangtheory! https://t.co/DJaOt1VQcw",0.42,0.189,0.0,0.811,4
103,CBS,Thu Jun 21 23:29:50 +0000 2018,"Lights, camera, selfie! 📸 Could there be a better photo for #NationalSelfieDay? https://t.co/14Ewx64yKC",0.493,0.242,0.0,0.758,5
104,CBS,Wed Jun 20 00:39:01 +0000 2018,There’s nothing quite like watching a contestant win a brand new car on @PriceIsRight. 👏  https://t.co/aKlFikYAMM,0.356,0.222,0.136,0.642,6
105,CBS,Mon Jun 18 20:27:50 +0000 2018,Time to make your predictions for #BB20! 👏 Get to know the @CBSBigBrother Houseguests before the big premiere next… https://t.co/jlpIchJ9sk,0.0,0.0,0.0,1.0,7
106,CBS,Mon Jun 18 15:00:46 +0000 2018,RT @CBSBigBrother: Meet the cast of #BB20... before anyone else! Start streaming all their live interviews beginning at 11am EST/8am PST on…,0.0,0.0,0.0,1.0,8
107,CBS,Sun Jun 17 13:00:01 +0000 2018,"Today and every day we celebrate their love, guidance, and support. Happy #FathersDay to every kind of dad! https://t.co/Wffax1khBH",0.939,0.493,0.0,0.507,9
108,CBS,Fri Jun 15 18:48:29 +0000 2018,"Casting Alert! @paulwesley, @DaniaJRamirez &amp; @JamesWolk are set to star in the upcoming CBS All Access psychologica… https://t.co/JnZMrzT92n",0.36,0.128,0.0,0.872,10
109,CBS,Thu Jun 14 17:30:00 +0000 2018,"In case you missed it, watch the entire #TonyAwards now: https://t.co/Bm0yNV3Ff3 https://t.co/h3YnFkmSQJ",-0.296,0.0,0.167,0.833,11
110,CBS,Thu Jun 14 16:19:32 +0000 2018,RT @StrangeAngel: Mastermind or maniac? Explore the brilliant mind of Jack Parsons in #StrangeAngel. Now streaming on CBS All Access: https…,0.178,0.147,0.12,0.734,12
111,CBS,Tue Jun 12 00:19:23 +0000 2018,"No pain, no gain, ALL Hart! Just one month until the premiere of @TKOCBS hosted by @KevinHart4real. https://t.co/C1yMCglxVn",-0.556,0.134,0.315,0.551,13
112,CBS,Mon Jun 11 22:23:06 +0000 2018,"RT @TheNeighborhood: Welcome to #TheNeighborhood, @BethBehrs! The @2BrokeGirls star returns to @CBS in a new sitcom alongside @CedEntertain…",0.509,0.171,0.0,0.829,14
113,CBS,Mon Jun 11 19:01:38 +0000 2018,"In case you missed it, watch the entire #TonyAwards now: https://t.co/Bm0yNV3Ff3 https://t.co/3GA5otlcPa",-0.296,0.0,0.167,0.833,15
114,CBS,Mon Jun 11 14:00:37 +0000 2018,How do you know @SaraBareilles and @joshgroban's music? #TonyAwards https://t.co/POMXBORfUT,0.0,0.0,0.0,1.0,16
115,CBS,Mon Jun 11 06:19:36 +0000 2018,Here are all the performances from the 2018 #TonyAwards: https://t.co/gN4ItpFlRd https://t.co/fSMNBXKC9r,0.0,0.0,0.0,1.0,17
116,CBS,Mon Jun 11 06:04:41 +0000 2018,See the complete list of winners from the 2018 #TonyAwards: https://t.co/9XK6CGeber https://t.co/HkUIN4Quej,0.477,0.22,0.0,0.78,18
117,CBS,Mon Jun 11 03:10:33 +0000 2018,An end to a magical evening. The Band's Visit wins for Best Musical! #TonyAwards https://t.co/ODza97n8YH,0.848,0.406,0.0,0.594,19
118,CBS,Mon Jun 11 03:02:06 +0000 2018,Congratulations are in order for @TheKatrinaLenk! She just won for Best Leading Actress in a Musical. #TonyAwards https://t.co/t9bNvpiEmH,0.92,0.463,0.0,0.537,20
119,CBS,Mon Jun 11 02:58:30 +0000 2018,"RT @CBSThisMorning: Hmm... something seems off here @SaraBareilles @JoshGroban. 😂

@WaitressMusical @GreatCometBway #TonyAwards https://t.c…",0.0,0.0,0.0,1.0,21
120,CBS,Fri Jun 22 20:44:54 +0000 2018,@TwitterSupport Re: Richard Grove with CBSinteractive: so I need to find some way to prove my credentials as part o… https://t.co/rTcg8nC1KT,0.0,0.0,0.0,1.0,22
121,CBS,Fri Jun 22 20:43:33 +0000 2018,"@TwitterSupport My name is Richard Grove, I am a web developer for CBSinteractive. I need to make adjustments for t… https://t.co/vQzn6jut5n",0.0,0.0,0.0,1.0,23
122,CBS,Fri Jun 22 18:33:53 +0000 2018,"Every day is #TakeYourDogToWorkDay for shows like @HawaiiFive0CBS, @MomCBS, @SEALTeamCBS, and @bigbangtheory! https://t.co/DJaOt1VQcw",0.42,0.189,0.0,0.811,24
123,CBS,Thu Jun 21 23:29:50 +0000 2018,"Lights, camera, selfie! 📸 Could there be a better photo for #NationalSelfieDay? https://t.co/14Ewx64yKC",0.493,0.242,0.0,0.758,25
124,CBS,Wed Jun 20 00:39:01 +0000 2018,There’s nothing quite like watching a contestant win a brand new car on @PriceIsRight. 👏  https://t.co/aKlFikYAMM,0.356,0.222,0.136,0.642,26
125,CBS,Mon Jun 18 20:27:50 +0000 2018,Time to make your predictions for #BB20! 👏 Get to know the @CBSBigBrother Houseguests before the big premiere next… https://t.co/jlpIchJ9sk,0.0,0.0,0.0,1.0,27
126,CBS,Mon Jun 18 15:00:46 +0000 2018,RT @CBSBigBrother: Meet the cast of #BB20... before anyone else! Start streaming all their live interviews beginning at 11am EST/8am PST on…,0.0,0.0,0.0,1.0,28
127,CBS,Sun Jun 17 13:00:01 +0000 2018,"Today and every day we celebrate their love, guidance, and support. Happy #FathersDay to every kind of dad! https://t.co/Wffax1khBH",0.939,0.493,0.0,0.507,29
128,CBS,Fri Jun 15 18:48:29 +0000 2018,"Casting Alert! @paulwesley, @DaniaJRamirez &amp; @JamesWolk are set to star in the upcoming CBS All Access psychologica… https://t.co/JnZMrzT92n",0.36,0.128,0.0,0.872,30
129,CBS,Thu Jun 14 17:30:00 +0000 2018,"In case you missed it, watch the entire #TonyAwards now: https://t.co/Bm0yNV3Ff3 https://t.co/h3YnFkmSQJ",-0.296,0.0,0.167,0.833,31
130,CBS,Thu Jun 14 16:19:32 +0000 2018,RT @StrangeAngel: Mastermind or maniac? Explore the brilliant mind of Jack Parsons in #StrangeAngel. Now streaming on CBS All Access: https…,0.178,0.147,0.12,0.734,32
131,CBS,Tue Jun 12 00:19:23 +0000 2018,"No pain, no gain, ALL Hart! Just one month until the premiere of @TKOCBS hosted by @KevinHart4real. https://t.co/C1yMCglxVn",-0.556,0.134,0.315,0.551,33
132,CBS,Mon Jun 11 22:23:06 +0000 2018,"RT @TheNeighborhood: Welcome to #TheNeighborhood, @BethBehrs! The @2BrokeGirls star returns to @CBS in a new sitcom alongside @CedEntertain…",0.509,0.171,0.0,0.829,34
